ville,Emmanuel Macron,Marine Le Pen
Marsonnas,58.72,41.28
Martignat,54.66,45.34
Massieux,62.66,37.34
Massignieu-de-Rives,61.63,38.37
Matafelon-Granges,45.56,54.44
Meillonnas,68.05,31.95
Mérignat,76.81,23.19
Messimy-sur-Saône,61.11,38.89
Meximieux,64.29,35.71
Bohas-Meyriat-Rignat,60.43,39.57
Mézériat,56.33,43.67
Mijoux,62.64,37.36
Mionnay,61.11,38.89
Miribel,66.24,33.76
Misérieux,65.69,34.31
Mogneneins,56.43,43.57
Montagnat,66.38,33.62
Montagnieu,59.68,40.32
Montanges,52.85,47.15
Montceaux,46.91,53.09
Montcet,53.89,46.11
Le Montellier,57.04,42.96
Monthieux,59.18,40.82
Montluel,64.78,35.22
Montmerle-sur-Saône,59.71,40.29
Montracol,50.1,49.9
Montréal-la-Cluse,60.51,39.49
Montrevel-en-Bresse,60.0,40.0
Nurieux-Volognat,55.56,44.44
Murs-et-Gélignieux,48.18,51.82
Nantua,62.76,37.24
Neuville-les-Dames,51.59,48.41
Neuville-sur-Ain,52.62,47.38
Les Neyrolles,49.16,50.84
Neyron,67.09,32.91
Niévroz,53.77,46.23
Nivollet-Montgriffon,56.06,43.94
Oncieu,47.27,52.73
Ordonnaz,60.0,40.0
Ornex,83.64,16.36
Outriaz,63.46,36.54
Oyonnax,64.84,35.16
Ozan,53.56,46.44
Parcieux,67.71,32.29
Parves et Nattages,65.7,34.3
Péron,68.78,31.22
Péronnas,69.21,30.79
Pérouges,59.29,40.71
Perrex,56.76,43.24
Peyriat,61.29,38.71
Peyrieu,54.67,45.33
Peyzieux-sur-Saône,47.06,52.94
Pirajoux,43.88,56.12
Pizay,54.71,45.29
Plagne,55.71,44.29
Le Plantay,47.31,52.69
Polliat,61.95,38.05
Pollieu,51.06,48.94
Poncin,53.1,46.9
Pont-d'Ain,50.99,49.01
Pont-de-Vaux,62.12,37.88
Pont-de-Veyle,56.82,43.18
Port,58.25,41.75
Pougny,70.2,29.8
Pouillat,40.0,60.0
Prémeyzel,52.34,47.66
Prémillieu,53.13,46.88
Prévessin-Moëns,80.11,19.89
Priay,49.42,50.58
Ramasse,50.0,50.0
Rancé,56.74,43.26
Relevant,50.76,49.24
Replonges,62.89,37.11
Revonnas,66.59,33.41
Reyrieux,68.24,31.76
Reyssouze,56.67,43.33
Rignieux-le-Franc,51.66,48.34
Romans,50.18,49.82
Rossillon,50.0,50.0
Ruffieu,69.9,30.1
Saint-Alban,60.91,39.09
Saint-André-de-Bâgé,60.0,40.0
Saint-André-de-Corcy,55.52,44.48
Saint-André-d'Huiriat,44.91,55.09
Saint-André-le-Bouchoux,55.38,44.62
Saint-André-sur-Vieux-Jonc,60.43,39.57
Saint-Bénigne,53.25,46.75
Groslée-Saint-Benoît,54.72,45.28
Saint-Bernard,67.01,32.99
Saint-Champ,66.67,33.33
Sainte-Croix,59.86,40.14
Saint-Cyr-sur-Menthon,58.65,41.35
Saint-Denis-lès-Bourg,70.64,29.36
Saint-Denis-en-Bugey,52.46,47.54
Saint-Didier-d'Aussiat,58.84,41.16
Saint-Didier-de-Formans,63.8,36.2
Saint-Didier-sur-Chalaronne,55.45,44.55
Saint-Eloi,53.75,46.25
Saint-Etienne-du-Bois,58.81,41.19
Saint-Etienne-sur-Chalaronne,45.1,54.9
Saint-Etienne-sur-Reyssouze,50.92,49.08
Sainte-Euphémie,65.46,34.54
Saint-Genis-Pouilly,76.49,23.51
Saint-Genis-sur-Menthon,50.39,49.61
Saint-Georges-sur-Renon,47.52,52.48
Saint-Germain-de-Joux,63.74,36.26
Saint-Germain-les-Paroisses,60.09,39.91
Saint-Germain-sur-Renon,43.97,56.03
Saint-Jean-de-Gonville,70.35,29.65
Saint-Jean-de-Niost,51.8,48.2
Saint-Jean-de-Thurigneux,52.84,47.16
Saint-Jean-le-Vieux,57.18,42.82
Saint-Jean-sur-Reyssouze,50.81,49.19
Saint-Jean-sur-Veyle,59.6,40.4
Sainte-Julie,52.29,47.71
Saint-Julien-sur-Reyssouze,51.66,48.34
Saint-Julien-sur-Veyle,49.49,50.51
Saint-Just,68.23,31.77
Saint-Laurent-sur-Saône,62.64,37.36
Saint-Marcel,49.92,50.08
Saint-Martin-de-Bavel,66.99,33.01
Saint-Martin-du-Frêne,54.77,45.23
Saint-Martin-du-Mont,62.59,37.41
Saint-Martin-le-Châtel,54.88,45.12
Saint-Maurice-de-Beynost,63.4,36.6
Saint-Maurice-de-Gourdans,47.95,52.05
Saint-Maurice-de-Rémens,41.41,58.59
Saint-Nizier-le-Bouchoux,55.24,44.76
