ville,Emmanuel Macron,Marine Le Pen
Oinville-Saint-Liphard,48.43,51.57
Oinville-sous-Auneau,46.15,53.85
Ollé,55.73,44.27
Orgères-en-Beauce,48.65,51.35
Ormoy,53.79,46.21
Orrouer,46.84,53.16
Ouarville,53.76,46.24
Ouerre,59.6,40.4
Oulins,47.67,52.33
Oysonville,44.4,55.6
Péronville,42.54,57.46
Pierres,63.32,36.68
Les Pinthières,52.38,47.62
Poinville,56.76,43.24
Poisvilliers,63.21,36.79
Pontgouin,52.15,47.85
Poupry,59.26,40.74
Prasville,46.22,53.78
Pré-Saint-Evroult,55.56,44.44
Pré-Saint-Martin,42.48,57.52
Prudemanche,51.97,48.03
Prunay-le-Gillon,57.38,42.62
La Puisaye,61.69,38.31
Le Puiset,51.37,48.63
Puiseux,41.46,58.54
Réclainville,58.59,41.41
Les Ressuintes,44.83,55.17
Revercourt,60.0,40.0
Rohaire,36.96,63.04
Roinville,49.41,50.59
Rouvray-Saint-Denis,42.29,57.71
Rouvres,59.15,40.85
Rueil-la-Gadelière,50.39,49.61
Saint-Ange-et-Torçay,48.8,51.2
Saint-Arnoult-des-Bois,57.82,42.18
Saint-Aubin-des-Bois,56.5,43.5
Saint-Avit-les-Guespières,52.6,47.4
Saint-Bomer,46.6,53.4
Saint-Christophe,52.69,47.31
Villemaury,48.08,51.92
Saint-Denis-d'Authou,55.15,44.85
Sainte-Gemme-Moronval,65.07,34.93
Saint-Denis-des-Puits,53.95,46.05
Saint-Denis-les-Ponts,62.11,37.89
Saint-Eliph,53.45,46.55
Saint-Eman,41.27,58.73
Saint-Georges-sur-Eure,60.43,39.57
Saint-Germain-le-Gaillard,56.92,43.08
Saint-Jean-de-Rebervilliers,48.55,51.45
Saint-Jean-Pierre-Fixte,52.44,47.56
Saint-Laurent-la-Gâtine,63.98,36.02
Saint-Léger-des-Aubées,62.12,37.88
Saint-Lubin-de-Cravant,64.58,35.42
Saint-Lubin-de-la-Haye,64.04,35.96
Saint-Lubin-des-Joncherets,52.98,47.02
Saint-Lucien,69.54,30.46
Saint-Luperce,59.3,40.7
Saint-Maixme-Hauterive,55.02,44.98
Saint-Martin-de-Nigelles,67.66,32.34
Saint-Maur-sur-le-Loir,66.13,33.87
Saint-Maurice-Saint-Germain,50.0,50.0
Saint-Ouen-Marchefroy,75.4,24.6
Saint-Piat,66.88,33.12
Saint-Prest,72.11,27.89
Saint-Rémy-sur-Avre,50.15,49.85
Saint-Sauveur-Marville,52.72,47.28
Saint-Victor-de-Buthon,47.84,52.16
Sainville,56.2,43.8
Sancheville,45.0,55.0
Sandarville,48.83,51.17
Santeuil,47.65,52.35
Santilly,35.03,64.97
La Saucelle,59.83,40.17
Saulnières,51.72,48.28
Saumeray,46.59,53.41
Saussay,46.28,53.72
Senantes,63.33,36.67
Senonches,51.63,48.37
Serazereux,44.4,55.6
Serville,48.72,51.28
Soizé,46.89,53.11
Sorel-Moussel,51.46,48.54
Souancé-au-Perche,53.27,46.73
Soulaires,55.56,44.44
Sours,58.86,41.14
Terminiers,46.7,53.3
Theuville,52.71,47.29
Le Thieulin,44.34,55.66
Thimert-Gâtelles,49.75,50.25
Thiron-Gardais,51.52,48.48
Thivars,67.3,32.7
Thiville,50.45,49.55
Tillay-le-Péneux,45.63,54.38
Toury,48.12,51.88
Trancrainville,51.85,48.15
Tremblay-les-Villages,45.73,54.27
Tréon,53.53,46.47
Trizay-Coutretot-Saint-Serge,55.31,44.69
Trizay-lès-Bonneval,52.47,47.53
Umpeau,54.01,45.99
Unverre,48.5,51.5
Varize,52.21,47.79
Vaupillon,40.94,59.06
Ver-lès-Chartres,70.56,29.44
Vernouillet,69.41,30.59
Vert-en-Drouais,52.16,47.84
Eole-en-Beauce,51.08,48.92
Vichères,56.15,43.85
Vierville,52.94,47.06
Vieuvicq,47.5,52.5
Villampuy,50.98,49.02
Villars,49.32,50.68
Villeau,57.33,42.67
Villebon,42.22,57.78
Villemeux-sur-Eure,54.72,45.28
Villiers-le-Morhier,62.91,37.09
Villiers-Saint-Orien,56.31,43.69
Vitray-en-Beauce,45.28,54.72
Voise,52.11,47.89
Les Villages-Vovéens,51.9,48.1
Yermenonville,58.79,41.21
Yèvres,51.36,48.64
Ymeray,52.56,47.44
Ymonville,54.47,45.53
Argol,63.65,36.35
Arzano,74.23,25.77
Audierne,75.76,24.24
Bannalec,70.7,29.3
Baye,76.56,23.44
Bénodet,75.25,24.75
Berrien,71.43,28.57
Beuzec-Cap-Sizun,76.22,23.78
Bodilis,75.0,25.0
Bohars,84.77,15.23
Bolazec,69.44,30.56
Botmeur,80.23,19.77
Botsorhel,70.12,29.88
Bourg-Blanc,76.59,23.41
Brasparts,75.14,24.86
Brélès,77.09,22.91
Brennilis,64.5,35.5
Brest,78.55,21.45
Briec,76.14,23.86
Plounéour-Brignogan-Plages,77.59,22.41
Camaret-sur-Mer,67.99,32.01
Carantec,83.27,16.73
Carhaix-Plouguer,77.39,22.61
Cast,70.66,29.34
Châteaulin,73.63,26.37
Châteauneuf-du-Faou,71.6,28.4
Cléden-Cap-Sizun,73.84,26.16
Cléden-Poher,69.95,30.05
Cléder,76.1,23.9
Clohars-Carnoët,74.36,25.64
Clohars-Fouesnant,75.0,25.0
Le Cloître-Pleyben,65.96,34.04
Le Cloître-Saint-Thégonnec,74.59,25.41
Coat-Méal,71.29,28.71
Collorec,71.33,28.67
Combrit,84.83,15.17
Commana,64.8,35.2
Concarneau,76.77,23.23
Le Conquet,76.75,23.25
Coray,70.78,29.22
Crozon,72.18,27.82
Daoulas,83.75,16.25
Dinéault,68.78,31.22
Dirinon,79.73,20.27
Douarnenez,80.65,19.35
Le Drennec,74.75,25.25
Edern,71.89,28.11
Elliant,72.78,27.22
Ergué-Gabéric,79.83,20.17
Le Faou,76.11,23.89
La Feuillée,78.2,21.8
Le Folgoët,76.7,23.3
La Forest-Landerneau,81.54,18.46
La Forêt-Fouesnant,79.75,20.25
Fouesnant,79.31,20.69
Garlan,79.14,20.86
Gouesnach,79.27,20.73
Gouesnou,81.57,18.43
Gouézec,73.43,26.57
Goulien,72.76,27.24
Goulven,84.25,15.75
Gourlizon,71.72,28.28
Guengat,76.92,23.08
Guerlesquin,68.7,31.3
Guiclan,75.78,24.22
Guilers,76.83,23.17
Guiler-sur-Goyen,75.59,24.41
Guilligomarc'h,62.83,37.17
Guilvinec,71.68,28.32
Guimaëc,77.35,22.65
Guimiliau,67.64,32.36
Guipavas,81.16,18.84
Milizac-Guipronvel,77.17,22.83
Guissény,73.95,26.05
Hanvec,72.23,27.77
Henvic,80.93,19.07
Hôpital-Camfrout,79.41,20.59
Huelgoat,73.09,26.91
Ile-de-Batz,74.73,25.27
Ile-de-Sein,77.99,22.01
Ile-Molène,72.22,27.78
Ile-Tudy,83.4,16.6
Irvillac,79.38,20.62
Le Juch,79.22,20.78
Kergloff,76.91,23.09
Kerlaz,74.69,25.31
Kerlouan,72.29,27.71
Kernilis,65.46,34.54
Kernouës,77.44,22.56
Kersaint-Plabennec,77.87,22.13
Lampaul-Guimiliau,70.98,29.02
Lampaul-Plouarzel,82.78,17.22
Lampaul-Ploudalmézeau,75.0,25.0
Lanarvily,80.91,19.09
Landéda,80.86,19.14
Landeleau,69.28,30.72
Landerneau,81.29,18.71
Landévennec,73.09,26.91
Landivisiau,74.71,25.29
Landrévarzec,74.58,25.42
Landudal,76.25,23.75
Landudec,75.55,24.45
Landunvez,81.7,18.3
Langolen,68.53,31.47
Lanhouarneau,71.34,28.66
Lanildut,77.74,22.26
Lanmeur,76.68,23.32
Lannéanou,71.71,28.29
Lannédern,78.65,21.35
Lanneuffret,65.38,34.62
Lannilis,76.85,23.15
Lanrivoaré,73.49,26.51
Lanvéoc,64.42,35.58
Laz,74.45,25.55
Lennon,70.79,29.21
Lesneven,77.92,22.08
Leuhan,66.1,33.9
Loc-Brévalaire,71.05,28.95
Loc-Eguiner,75.26,24.74
Locmaria-Berrien,73.68,26.32
Locmaria-Plouzané,76.01,23.99
Locmélar,80.49,19.51
Locquénolé,88.54,11.46
Locquirec,78.67,21.33
Locronan,79.22,20.78
Loctudy,81.52,18.48
Locunolé,67.87,32.13
Logonna-Daoulas,84.15,15.85
Lopérec,76.53,23.47
Loperhet,81.02,18.98
Loqueffret,78.84,21.16
Lothey,76.28,23.72
Mahalon,69.11,30.89
La Martyre,73.82,26.18
Confort-Meilars,71.98,28.02
Melgven,69.35,30.65
Mellac,74.81,25.19
Mespaul,74.49,25.51
Moëlan-sur-Mer,72.58,27.42
Morlaix,83.5,16.5
Motreff,65.95,34.05
Névez,71.33,28.67
Ouessant,75.22,24.78
Pencran,78.46,21.54
Penmarch,74.79,25.21
Peumérit,76.19,23.81
Plabennec,78.55,21.45
Pleuven,76.44,23.56
Pleyben,74.52,25.48
Pleyber-Christ,76.9,23.1
Plobannalec-Lesconil,79.77,20.23
Ploéven,75.39,24.61
Plogastel-Saint-Germain,77.69,22.31
Plogoff,74.71,25.29
Plogonnec,79.99,20.01
Plomelin,82.03,17.97
Plomeur,74.57,25.43
Plomodiern,75.15,24.85
Plonéis,76.09,23.91
Plonéour-Lanvern,79.25,20.75
Plonévez-du-Faou,74.15,25.85
Plonévez-Porzay,76.07,23.93
Plouarzel,77.8,22.2
Ploudalmézeau,71.49,28.51
Ploudaniel,76.43,23.57
Ploudiry,71.49,28.51
Plouédern,79.09,20.91
Plouégat-Guerrand,79.72,20.28
Plouégat-Moysan,67.55,32.45
Plouénan,78.18,21.82
Plouescat,77.77,22.23
Plouézoc'h,84.81,15.19
Plougar,75.06,24.94
Plougasnou,82.84,17.16
Plougastel-Daoulas,83.48,16.52
Plougonvelin,80.53,19.47
Plougonven,78.91,21.09
Plougoulm,79.54,20.46
Plougourvest,72.91,27.09
Plouguerneau,74.12,25.88
Plouguin,70.02,29.98
Plouhinec,72.89,27.11
Plouider,76.82,23.18
Plouigneau,76.94,23.06
Ploumoguer,72.0,28.0
Plounéour-Ménez,71.19,28.81
Plounéventer,73.14,26.86
Plounévézel,78.69,21.31
Plounévez-Lochrist,74.6,25.4
Plourin-lès-Morlaix,83.33,16.67
Plourin,67.17,32.83
Plouvien,72.29,27.71
Plouvorn,76.76,23.24
Plouyé,76.95,23.05
Plouzané,77.89,22.11
Plouzévédé,72.8,27.2
Plovan,82.21,17.79
Plozévet,76.2,23.8
Pluguffan,74.19,25.81
Pont-Aven,75.93,24.07
Pont-Croix,74.11,25.89
Le Ponthou,59.76,40.24
Pont-l'Abbé,80.29,19.71
Porspoder,77.87,22.13
Port-Launay,69.95,30.05
Pouldergat,75.97,24.03
Pouldreuzic,76.96,23.04
Poullan-sur-Mer,78.53,21.47
Poullaouen,73.56,26.44
Primelin,72.51,27.49
Quéménéven,74.67,25.33
Querrien,69.42,30.58
Quimper,83.29,16.71
Quimperlé,76.33,23.67
Rédené,71.43,28.57
Le Relecq-Kerhuon,84.29,15.71
Riec-sur-Belon,72.77,27.23
La Roche-Maurice,81.46,18.54
Roscanvel,64.48,35.52
Roscoff,82.92,17.08
Rosnoën,78.2,21.8
Rosporden,72.15,27.85
Saint-Coulitz,78.7,21.3
Saint-Derrien,66.28,33.72
Saint-Divy,80.07,19.93
Saint-Eloy,77.06,22.94
Saint-Evarzec,78.67,21.33
Saint-Frégant,66.89,33.11
Saint-Goazec,63.37,36.63
Saint-Hernin,66.59,33.41
Saint-Jean-du-Doigt,81.03,18.97
Saint-Jean-Trolimon,77.95,22.05
Saint-Martin-des-Champs,80.95,19.05
Saint-Méen,75.06,24.94
Saint-Nic,71.91,28.09
Saint-Pabu,75.85,24.15
Saint-Pol-de-Léon,77.41,22.59
Saint-Renan,77.46,22.54
Saint-Rivoal,75.56,24.44
Saint-Sauveur,55.84,44.16
Saint-Ségal,74.47,25.53
Saint-Servais,61.42,38.58
Sainte-Sève,83.56,16.44
Saint-Thégonnec Loc-Eguiner,73.18,26.82
Saint-Thois,67.57,32.43
Saint-Thonan,80.0,20.0
Saint-Thurien,66.98,33.02
Saint-Urbain,78.77,21.23
Saint-Vougay,72.77,27.23
Saint-Yvi,73.93,26.07
Santec,80.3,19.7
Scaër,69.28,30.72
Scrignac,67.13,32.87
Sibiril,74.74,25.26
Sizun,72.74,27.26
Spézet,69.06,30.94
Taulé,79.99,20.01
Telgruc-sur-Mer,71.32,28.68
Tourch,67.5,32.5
Trébabu,72.38,27.62
Treffiagat,74.91,25.09
Tréflaouénan,75.0,25.0
Tréflévénez,69.5,30.5
Tréflez,74.05,25.95
Trégarantec,76.54,23.46
Trégarvan,82.95,17.05
Tréglonou,75.99,24.01
Trégourez,72.23,27.77
Tréguennec,87.18,12.82
Trégunc,71.75,28.25
Le Tréhou,74.29,25.71
Trémaouézan,77.44,22.56
Tréméoc,80.42,19.58
Tréméven,72.9,27.1
Tréogat,79.7,20.3
Tréouergat,75.14,24.86
Le Trévoux,64.86,35.14
Trézilidé,63.04,36.96
Pont-de-Buis-lès-Quimerch,68.37,31.63
Aigaliers,54.31,45.69
Aigremont,43.89,56.11
Aigues-Mortes,47.51,52.49
Aigues-Vives,56.38,43.62
Aiguèze,61.07,38.93
Aimargues,41.11,58.89
Alès,61.18,38.82
Allègre-les-Fumades,50.11,49.89
Alzon,59.56,40.44
Anduze,62.19,37.81
Les Angles,63.92,36.08
Aramon,50.55,49.45
Argilliers,51.28,48.72
Arpaillargues-et-Aureillac,59.51,40.49
Arphy,66.3,33.7
Arre,45.52,54.48
Arrigas,65.83,34.17
Aspères,62.26,37.74
Aubais,56.58,43.42
Aubord,46.12,53.88
Aubussargues,54.97,45.03
Aujac,48.04,51.96
Aujargues,55.11,44.89
Aulas,63.05,36.95
Aumessas,68.18,31.82
Avèze,58.2,41.8
Bagard,50.73,49.27
Bagnols-sur-Cèze,56.2,43.8
Barjac,61.77,38.23
Baron,47.94,52.06
La Bastide-d'Engras,52.0,48.0
Beaucaire,44.53,55.47
Beauvoisin,44.49,55.51
Bellegarde,40.97,59.03
Belvézet,62.41,37.59
Bernis,47.06,52.94
Bessèges,50.04,49.96
Bez-et-Esparon,73.08,26.92
Bezouce,42.47,57.53
Blandas,59.05,40.95
Blauzac,61.63,38.37
Boisset-et-Gaujac,51.49,48.51
Boissières,61.7,38.3
Bonnevaux,96.55,3.45
Bordezac,54.34,45.66
Boucoiran-et-Nozières,47.83,52.17
Bouillargues,50.58,49.42
Bouquet,52.34,47.66
Bourdic,47.25,52.75
Bragassargues,56.82,43.18
Branoux-les-Taillades,48.81,51.19
Bréau-et-Salagosse,67.81,32.19
Brignon,50.27,49.73
Brouzet-lès-Quissac,60.12,39.88
Brouzet-lès-Alès,52.53,47.47
La Bruguière,57.76,42.24
Cabrières,49.19,50.81
La Cadière-et-Cambo,66.93,33.07
Le Cailar,40.33,59.67
Caissargues,53.32,46.68
La Calmette,43.84,56.16
Calvisson,57.39,42.61
Campestre-et-Luc,77.27,22.73
Canaules-et-Argentières,51.71,48.29
Cannes-et-Clairan,56.08,43.92
La Capelle-et-Masmolène,52.85,47.15
Cardet,48.34,51.66
Carnas,54.32,45.68
Carsan,54.62,45.38
Cassagnoles,62.68,37.32
Castelnau-Valence,48.95,51.05
Castillon-du-Gard,54.13,45.87
Causse-Bégon,83.33,16.67
Caveirac,53.96,46.04
Cavillargues,59.92,40.08
Cendras,60.0,40.0
Chambon,63.8,36.2
Chamborigaud,57.36,42.64
Chusclan,53.06,46.94
Clarensac,55.81,44.19
Codognan,44.96,55.04
Codolet,31.78,68.22
Collias,59.25,40.75
Collorgues,54.72,45.28
Colognac,84.78,15.22
Combas,53.52,46.48
Comps,41.49,58.51
Concoules,54.23,45.77
Congénies,62.92,37.08
Connaux,49.68,50.32
Conqueyrac,58.44,41.56
Corbès,69.23,30.77
Corconne,66.01,33.99
Cornillon,48.62,51.38
Courry,69.59,30.41
Crespian,53.47,46.53
Cros,63.23,36.77
Cruviers-Lascours,50.16,49.84
Deaux,40.5,59.5
Dions,48.99,51.01
Domazan,53.23,46.77
Domessargues,42.3,57.7
Dourbies,70.2,29.8
Durfort-et-Saint-Martin-de-Sossenac,67.8,32.2
Estézargues,52.65,47.35
L'Estréchure,74.7,25.3
Euzet,46.12,53.88
Flaux,59.9,40.1
Foissac,47.79,52.21
Fons,48.26,51.74
Fons-sur-Lussan,72.16,27.84
Fontanès,42.7,57.3
Fontarèches,58.62,41.38
Fournès,50.39,49.61
Fourques,48.29,51.71
Fressac,64.84,35.16
Gagnières,52.52,47.48
Gailhan,53.08,46.92
Gajan,47.06,52.94
Gallargues-le-Montueux,51.04,48.96
Le Garn,59.73,40.27
Garons,48.83,51.17
Garrigues-Sainte-Eulalie,58.98,41.02
Gaujac,46.42,53.58
Générac,45.82,54.18
Générargues,71.32,28.68
Génolhac,64.81,35.19
Goudargues,47.62,52.38
La Grand-Combe,59.26,40.74
Le Grau-du-Roi,46.25,53.75
Issirac,74.63,25.37
Jonquières-Saint-Vincent,43.75,56.25
Junas,56.8,43.2
Lamelouze,72.94,27.06
Langlade,60.97,39.03
Lanuéjols,58.77,41.23
Lasalle,67.85,32.15
Laudun-l'Ardoise,47.48,52.52
Laval-Pradel,46.21,53.79
Laval-Saint-Roman,59.02,40.98
Lecques,65.5,34.5
Lédenon,42.3,57.7
Lédignan,48.78,51.22
Lézan,56.22,43.78
Liouc,53.33,46.67
Lirac,57.23,42.77
Logrian-Florian,51.37,48.63
Lussan,60.8,39.2
Les Mages,49.72,50.28
Malons-et-Elze,60.29,39.71
Mandagout,79.41,20.59
Manduel,47.0,53.0
Marguerittes,47.27,52.73
Mars,64.71,35.29
Martignargues,51.18,48.82
Le Martinet,52.43,47.57
Maruéjols-lès-Gardon,59.0,41.0
Massanes,44.76,55.24
Massillargues-Attuech,57.18,42.82
Mauressargues,64.63,35.37
Méjannes-le-Clap,54.52,45.48
Méjannes-lès-Alès,50.0,50.0
Meynes,45.98,54.02
Meyrannes,46.99,53.01
Mialet,71.84,28.16
Milhaud,43.02,56.98
Molières-Cavaillac,63.46,36.54
Molières-sur-Cèze,50.0,50.0
Monoblet,73.61,26.39
Mons,49.01,50.99
Montaren-et-Saint-Médiers,56.28,43.72
Montclus,60.8,39.2
Montdardier,63.41,36.59
Monteils,47.56,52.44
Montfaucon,40.88,59.12
Montfrin,48.07,51.93
Montignargues,47.43,52.57
Montmirat,41.21,58.79
Montpezat,51.77,48.23
Moulézan,52.9,47.1
Moussac,43.42,56.58
Mus,51.96,48.04
Nages-et-Solorgues,64.16,35.84
Navacelles,40.64,59.36
Ners,53.74,46.26
Nîmes,65.28,34.72
Notre-Dame-de-la-Rouvière,62.5,37.5
Orsan,47.13,52.87
Orthoux-Sérignac-Quilhan,59.92,40.08
Parignargues,54.25,45.75
Peyremale,61.48,38.52
Peyrolles,85.71,14.29
Le Pin,46.91,53.09
Les Plans,53.33,46.67
Les Plantiers,68.66,31.34
Pommiers,64.58,35.42
Pompignan,66.04,33.96
Ponteils-et-Brésis,58.64,41.36
Pont-Saint-Esprit,49.79,50.21
Portes,47.78,52.22
Potelières,44.06,55.94
Pougnadoresse,54.11,45.89
Poulx,53.11,46.89
Pouzilhac,44.68,55.32
Puechredon,52.63,47.37
Pujaut,62.83,37.17
Quissac,52.84,47.16
Redessan,41.31,58.69
Remoulins,43.37,56.63
Revens,62.5,37.5
Ribaute-les-Tavernes,41.47,58.53
Rivières,52.74,47.26
Robiac-Rochessadoule,49.74,50.26
Rochefort-du-Gard,52.62,47.38
Rochegude,61.81,38.19
Rogues,74.67,25.33
Roquedur,79.82,20.18
Roquemaure,47.8,52.2
La Roque-sur-Cèze,65.96,34.04
Rousson,49.35,50.65
La Rouvière,48.19,51.81
Sabran,55.53,44.47
Saint-Alexandre,48.87,51.13
Saint-Ambroix,47.88,52.12
Sainte-Anastasie,50.0,50.0
Saint-André-de-Majencoules,60.8,39.2
Saint-André-de-Roquepertuis,56.78,43.22
Saint-André-de-Valborgne,55.51,44.49
Saint-André-d'Olérargues,57.53,42.47
Saint-Bauzély,47.02,52.98
Saint-Bénézet,50.0,50.0
Saint-Bonnet-du-Gard,43.66,56.34
Saint-Bonnet-de-Salendrinque,44.19,55.81
Saint-Brès,50.66,49.34
Saint-Bresson,40.68,59.32
Sainte-Cécile-d'Andorge,47.17,52.83
Saint-Césaire-de-Gauzignan,55.87,44.13
Saint-Chaptes,50.0,50.0
Saint-Christol-de-Rodières,69.23,30.77
Saint-Christol-lès-Alès,55.8,44.2
Saint-Clément,45.26,54.74
Saint-Côme-et-Maruéjols,62.93,37.07
Sainte-Croix-de-Caderle,82.86,17.14
Saint-Denis,61.29,38.71
Saint-Dézéry,52.25,47.75
Saint-Dionizy,54.17,45.83
Saint-Etienne-de-l'Olm,51.03,48.97
Saint-Etienne-des-Sorts,39.84,60.16
Saint-Félix-de-Pallières,66.67,33.33
Saint-Florent-sur-Auzonnet,50.18,49.82
Saint-Geniès-de-Comolas,47.76,52.24
Saint-Geniès-de-Malgoirès,46.91,53.09
Saint-Gervais,63.09,36.91
Saint-Gervasy,37.16,62.84
Saint-Gilles,44.45,55.55
Saint-Hilaire-de-Brethmas,50.24,49.76
Saint-Hilaire-d'Ozilhan,56.24,43.76
Saint-Hippolyte-de-Caton,51.97,48.03
Saint-Hippolyte-de-Montaigu,62.42,37.58
Saint-Hippolyte-du-Fort,55.74,44.26
Saint-Jean-de-Ceyrargues,51.0,49.0
Saint-Jean-de-Crieulon,48.84,51.16
Saint-Jean-de-Maruéjols-et-Avéjan,52.03,47.97
Saint-Jean-de-Serres,50.53,49.47
Saint-Jean-de-Valériscle,48.45,51.55
Saint-Jean-du-Gard,65.68,34.32
Saint-Jean-du-Pin,54.27,45.73
Saint-Julien-de-Cassagnas,48.6,51.4
Saint-Julien-de-la-Nef,51.02,48.98
Saint-Julien-de-Peyrolas,43.01,56.99
Saint-Julien-les-Rosiers,50.54,49.46
Saint-Just-et-Vacquières,51.67,48.33
Saint-Laurent-d'Aigouze,43.71,56.29
Saint-Laurent-de-Carnols,48.23,51.77
Saint-Laurent-des-Arbres,56.74,43.26
Saint-Laurent-la-Vernède,55.66,44.34
Saint-Laurent-le-Minier,56.68,43.32
Saint-Mamert-du-Gard,48.29,51.71
Saint-Marcel-de-Careiret,59.3,40.7
Saint-Martial,66.67,33.33
Saint-Martin-de-Valgalgues,54.11,45.89
Saint-Maurice-de-Cazevieille,50.7,49.3
Saint-Maximin,54.55,45.45
Saint-Michel-d'Euzet,53.13,46.87
Saint-Nazaire,52.64,47.36
Saint-Nazaire-des-Gardies,62.96,37.04
Saint-Paulet-de-Caisson,53.2,46.8
Saint-Paul-la-Coste,59.5,40.5
Saint-Pons-la-Calm,47.15,52.85
Saint-Privat-de-Champclos,51.46,48.54
Saint-Privat-des-Vieux,52.95,47.05
Saint-Quentin-la-Poterie,63.21,36.79
Saint-Roman-de-Codières,79.23,20.77
Saint-Sauveur-Camprieu,56.76,43.24
Saint-Sébastien-d'Aigrefeuille,63.6,36.4
Saint-Siffret,62.77,37.23
Saint-Théodorit,51.11,48.89
Saint-Victor-des-Oules,48.15,51.85
Saint-Victor-la-Coste,55.73,44.27
Saint-Victor-de-Malcap,44.9,55.1
Salazac,65.38,34.62
Salindres,44.6,55.4
Salinelles,63.2,36.8
Les Salles-du-Gardon,54.11,45.89
Sanilhac-Sagriès,63.09,36.91
Sardan,55.49,44.51
Saumane,52.46,47.54
Sauve,54.87,45.13
Sauveterre,60.47,39.53
Sauzet,43.29,56.71
Savignargues,60.32,39.68
Saze,52.34,47.66
Sénéchas,59.63,40.37
Sernhac,41.56,58.44
Servas,49.5,50.5
Serviers-et-Labaume,55.81,44.19
Seynes,52.81,47.19
Sommières,61.4,38.6
Soudorgues,79.86,20.14
Soustelle,53.49,46.51
Souvignargues,58.42,41.58
Sumène,68.16,31.84
Tavel,56.25,43.75
Tharaux,91.3,8.7
Théziers,38.79,61.21
Thoiras,67.23,32.77
Tornac,57.2,42.8
Tresques,52.11,47.89
Trèves,52.44,47.56
Uchaud,40.26,59.74
Uzès,69.31,30.69
Vabres,63.64,36.36
Vallabrègues,43.85,56.15
Vallabrix,64.71,35.29
Vallérargues,70.33,29.67
Valleraugue,71.63,28.37
Valliguières,56.13,43.87
Vauvert,47.08,52.92
Vénéjan,52.04,47.96
Verfeuil,50.0,50.0
Vergèze,51.83,48.17
La Vernarède,53.21,46.79
Vers-Pont-du-Gard,54.94,45.06
Vestric-et-Candiac,36.56,63.44
Vézénobres,57.52,42.48
Vic-le-Fesq,56.87,43.13
Le Vigan,70.44,29.56
Villeneuve-lès-Avignon,69.6,30.4
Villevieille,60.68,39.32
Vissec,60.0,40.0
Montagnac,44.44,55.56
Saint-Paul-les-Fonts,44.94,55.06
Rodilhan,50.32,49.68
Agassac,73.02,26.98
Aignes,53.95,46.05
Aigrefeuille,82.07,17.93
Ayguesvives,75.19,24.81
Alan,61.49,38.51
Albiac,66.4,33.6
Ambax,42.86,57.14
Anan,59.86,40.14
Antichan-de-Frontignes,64.62,35.38
Antignac,62.69,37.31
Arbas,73.78,26.22
Arbon,74.58,25.42
Ardiège,63.55,36.45
Arguenos,68.33,31.67
Argut-Dessous,69.23,30.77
Arlos,54.24,45.76
Arnaud-Guilhem,64.06,35.94
Artigue,77.27,22.73
Aspet,70.78,29.22
Aspret-Sarrat,70.79,29.21
Aucamville,67.6,32.4
Aulon,63.47,36.53
Auragne,69.26,30.74
Aureville,81.76,18.24
Auriac-sur-Vendinelle,61.96,38.04
Auribail,43.24,56.76
Aurignac,70.04,29.96
Aurin,57.69,42.31
Ausseing,57.14,42.86
Ausson,62.58,37.42
Aussonne,68.83,31.17
Auterive,57.3,42.7
Auzas,74.59,25.41
Auzeville-Tolosane,86.33,13.67
Auzielle,81.53,18.47
Avignonet-Lauragais,67.86,32.14
Azas,63.74,36.26
Bachas,65.12,34.88
Bachos,79.17,20.83
Bagiry,41.27,58.73
Bagnères-de-Luchon,71.14,28.86
Balesta,70.83,29.17
Balma,80.26,19.74
Barbazan,68.59,31.41
Baren,100.0,0.0
Bax,69.39,30.61
Baziège,71.47,28.53
Bazus,66.76,33.24
Beauchalot,50.36,49.64
Beaufort,61.06,38.94
Beaumont-sur-Lèze,60.3,39.7
Beaupuy,72.75,27.25
Beauteville,69.57,30.43
Beauville,70.79,29.21
Beauzelle,72.14,27.86
Belberaud,75.98,24.02
Belbèze-de-Lauragais,62.5,37.5
Belbèze-en-Comminges,68.57,31.43
Bélesta-en-Lauragais,63.93,36.07
Bellegarde-Sainte-Marie,65.14,34.86
Bellesserre,62.26,37.74
Benque,50.0,50.0
Benque-Dessous-et-Dessus,100.0,0.0
Bérat,55.94,44.06
Bessières,62.56,37.44
Bezins-Garraux,66.67,33.33
Billière,80.95,19.05
Blagnac,78.22,21.78
Blajan,62.17,37.83
Bois-de-la-Pierre,50.0,50.0
Boissède,75.51,24.49
Bondigoux,64.08,35.92
Bonrepos-Riquet,70.83,29.17
Bonrepos-sur-Aussonnelle,68.27,31.73
Bordes-de-Rivière,53.04,46.96
Le Born,51.27,48.73
Boudrac,67.09,32.91
Bouloc,65.87,34.13
Boulogne-sur-Gesse,65.57,34.43
Bourg-d'Oueil,78.57,21.43
Bourg-Saint-Bernard,63.59,36.41
Boussan,72.61,27.39
Boussens,59.69,40.31
Boutx,67.21,32.79
Bouzin,75.0,25.0
Bragayrac,57.69,42.31
Brax,79.03,20.97
Bretx,59.94,40.06
Brignemont,47.91,52.09
Bruguières,67.76,32.24
Burgalays,53.09,46.91
Le Burgaud,56.78,43.22
Buzet-sur-Tarn,62.11,37.89
Cabanac-Cazaux,62.75,37.25
Cabanac-Séguenville,45.22,54.78
Le Cabanial,65.54,34.46
Cadours,58.24,41.76
Caignac,67.96,32.04
Calmont,56.91,43.09
