Code,Libellé,T1_2001,T2_2001,T3_2001,T4_2001,T1_2002,T2_2002,T3_2002,T4_2002,T1_2003,T2_2003,T3_2003,T4_2003,T1_2004,T2_2004,T3_2004,T4_2004,T1_2005,T2_2005,T3_2005,T4_2005,T1_2006,T2_2006,T3_2006,T4_2006,T1_2007,T2_2007,T3_2007,T4_2007,T1_2008,T2_2008,T3_2008,T4_2008,T1_2009,T2_2009,T3_2009,T4_2009,T1_2010,T2_2010,T3_2010,T4_2010,T1_2011,T2_2011,T3_2011,T4_2011,T1_2012,T2_2012,T3_2012,T4_2012,T1_2013,T2_2013,T3_2013,T4_2013,T1_2014,T2_2014,T3_2014,T4_2014,T1_2015,T2_2015,T3_2015,T4_2015,T1_2016,T2_2016,T3_2016,T4_2016,T1_2017,T2_2017,T3_2017,T4_2017,T1_2018,T2_2018,T3_2018,T4_2018,T1_2019,T2_2019,T3_2019,T4_2019,T1_2020,T2_2020,T3_2020,T4_2020,T1_2021,T2_2021,T3_2021,T4_2021
57,MOSELLE,7,1,7,2,7,3,7,5,7,8,7,9,8,1,8,4,8,8,9,2,9,4,9,6,9,4,9,1,8,8,8,5,8,3,8,4,8,6,8,9,9,0,9,1,9,2,9,3,9,3,9,1,8,9,8,7,8,5,8,7,8,7,8,6,8,3,8,0,7,6,7,3,7,0,6,8,6,6,6,3,6,4,6,6
58,NIEVRE,7,6,7,8,8,1,8,3,8,5,8,6,8,9,9,2,9,5,9,9,10,1,10,2,10,0,9,6,9,1,8,9,8,9,9,1,9,5,9,7,9,9,10,0,10,0,10,1,10,1,10,0,9,9,9,8,9,8,10,0,10,0,9,9,9,6,8,9,8,5,8,1,7,7,7,2,7,0,7,0,7,0,7,1
59,NORD,10,8,11,0,11,3,11,4,11,6,11,8,12,0,12,6,13,0,13,5,13,7,13,8,13,7,13,5,13,3,13,0,12,8,13,0,13,4,13,7,13,9,14,0,14,1,14,1,14,0,13,8,13,5,13,4,13,3,13,4,13,5,13,5,13,2,12,6,12,0,11,6,11,3,11,0,10,7,10,5,10,5,10,5
60,OISE,6,5,6,7,7,0,7,1,7,2,7,4,7,7,8,2,8,6,9,0,9,4,9,5,9,3,9,1,8,9,8,6,8,5,8,7,9,0,9,3,9,5,9,5,9,6,9,5,9,5,9,5,9,2,9,0,9,0,9,1,9,2,9,1,8,8,8,3,7,9,7,6,7,3,7,0,6,7,6,5,6,6,6,7
61,ORNE,6,7,6,9,7,1,7,0,7,0,7,0,7,2,7,5,7,9,8,1,8,3,8,3,8,2,7,8,7,5,7,3,7,2,7,6,8,1,8,4,8,5,8,6,8,8,8,7,8,6,8,5,8,2,8,1,8,1,8,2,8,3,8,3,8,0,7,5,7,0,6,7,6,5,6,2,6,0,6,0,6,1,6,4
62,PAS-DE-CALAIS,10,7,10,9,11,2,11,4,11,5,11,6,11,9,12,5,13,0,13,5,13,9,14,0,13,9,13,5,13,1,12,7,12,6,12,9,13,2,13,6,13,7,13,7,13,9,14,0,14,1,14,0,13,7,13,4,13,3,13,4,13,4,13,4,13,2,12,7,12,0,11,5,11,0,10,7,10,6,10,3,10,2,10,1
63,PUY-DE-DOME,7,7,8,0,8,2,8,2,8,2,8,2,8,2,8,4,8,6,8,9,9,1,9,2,9,2,9,0,8,8,8,5,8,2,8,5,8,8,9,0,9,1,9,2,9,3,9,2,9,1,8,9,8,6,8,4,8,3,8,3,8,4,8,5,8,3,8,1,7,7,7,4,7,2,7,2,7,3,7,0,6,8,6,8
64,PYRENEES-ATLANTIQUES,7,9,8,1,8,3,8,5,8,5,8,6,8,7,8,9,9,1,9,3,9,5,9,5,9,4,9,2,9,0,8,8,8,9,9,1,9,4,9,5,9,5,9,5,9,5,9,4,9,4,9,4,9,3,9,2,9,1,9,1,9,2,9,1,8,9,8,6,8,4,8,1,7,9,7,7,7,6,7,5,7,4,7,3
65,HAUTES-PYRENEES,9,8,10,0,10,4,10,6,10,5,10,4,10,4,10,5,10,6,10,8,10,8,10,8,10,8,10,6,10,4,10,1,10,0,10,2,10,5,10,7,10,7,10,7,10,6,10,8,10,9,10,9,10,9,11,0,10,9,10,9,10,9,10,8,10,8,10,4,10,1,9,7,9,4,9,1,9,0,8,9,8,9,8,9
66,PYRENEES-ORIENTALES,12,0,12,1,12,4,12,6,12,9,13,1,13,2,13,3,13,5,13,9,14,2,14,4,14,5,14,3,14,0,13,9,13,7,14,0,14,4,14,5,14,5,14,4,14,4,14,5,14,6,14,6,14,6,14,7,14,6,14,6,14,6,14,5,14,3,13,8,13,3,12,8,12,4,12,0,11,5,11,3,11,3,11,2
